ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2024-02-19,18,34654,552,Employed,Bachelor,0,20321,72,Married,0,Own,289,0.1441514127038323,1,2,0.11445789891069277,0,Auto,0,23,20,10469,3915,186258,13690,2887.8333333333335,0.5745754385815366,9,172568,0.259321,0.29519858632597307,605.0641686779193,0.3095968726304332,0,46.0
2024-02-20,43,59787,566,Employed,Bachelor,19,14350,60,Married,2,Mortgage,475,0.3095129662795134,3,1,0.35633828392423095,0,Education,0,20,18,1268,1614,125464,93446,4982.25,0.9003316773270755,5,32018,0.23635,0.2243471614662639,399.88634243402487,0.1756006507971348,1,43.2
2024-02-21,35,42980,519,Employed,High School,12,23304,120,Single,1,Own,88,0.45601317097368343,3,0,0.2150051980716483,0,Auto,0,17,9,10880,1208,12088,49508,3581.6666666666665,0.8543901394941382,5,14218,0.318804,0.2867093846251654,591.5828569969674,0.1897392806878457,0,55.0
2024-02-22,31,42230,561,Employed,Bachelor,8,40439,36,Single,0,Mortgage,516,0.5193822970682859,5,0,0.2443484506079073,0,Auto,0,32,6,8099,530,64687,55328,3519.1666666666665,0.7350059407799533,4,17521,0.244939,0.258761134930401,1626.6448475127838,0.608850063228828,0,56.0
2024-02-23,47,38158,605,Employed,High School,25,8464,60,Married,0,Other,676,0.22801572894097605,5,1,0.3404809462069744,0,Debt Consolidation,0,22,9,2894,7093,142780,20783,3179.8333333333335,0.7560166005872788,3,121997,0.21096399999999998,0.21491755208498436,231.32719725785125,0.2853379728259923,0,49.0
2024-02-24,52,230233,625,Employed,Master,32,17014,72,Married,2,Mortgage,576,0.07613265558073838,5,2,0.23575221144088868,0,Auto,1,29,26,702,5635,52211,14389,19186.083333333332,0.7790960562970421,1,37822,0.21951400000000001,0.22049649666420346,427.9974910560092,0.05232946577020719,1,41.6
2024-02-25,51,94717,628,Employed,Master,31,23381,60,Married,2,Mortgage,405,0.3728786033425952,4,2,0.3448806219913789,0,Other,0,29,28,5998,1116,94375,18405,7893.083333333333,0.930159284356276,11,75970,0.214381,0.21060376799056565,633.3289649221286,0.13154922114367584,1,38.400000000000006
2024-02-26,29,241567,612,Employed,Bachelor,5,48161,84,Married,3,Mortgage,703,0.3547076835256253,5,1,0.07254218280085657,0,Debt Consolidation,0,20,6,3491,213,18918,25608,20130.583333333332,0.7094171957318146,3,15180,0.267161,0.2900967383406043,1345.1410192469014,0.10174275555420573,1,37.6
2024-02-27,36,45388,587,Employed,Master,13,10437,60,Married,0,Rent,696,0.19665814768953646,1,0,0.2936216090416665,0,Other,0,25,9,1297,2834,98650,27020,3782.3333333333335,0.8182901944698151,3,71630,0.221937,0.2143497162479357,284.9156587252575,0.2593414097273088,0,51.0
2024-02-28,43,57299,637,Employed,Master,21,34012,72,Divorced,4,Rent,191,0.3221031328884619,2,0,0.24321397150244786,0,Home,0,18,21,10310,2510,236688,5617,4774.916666666667,0.7804830384095164,6,231071,0.230512,0.24073614744211672,896.9487064884406,0.2278466374258065,0,45.0
2024-02-29,51,31013,519,Employed,Master,29,20299,36,Married,1,Own,332,0.35711849373585997,2,0,0.08373346713650458,0,Home,0,28,27,4167,419,23294,12861,2584.4166666666665,0.8695535085871321,3,10433,0.24579900000000002,0.22410029774433518,779.5404709246455,0.43009336894514383,0,51.0
2024-03-01,34,32426,538,Employed,Bachelor,12,23889,36,Single,0,Own,423,0.31460682050798827,4,2,0.16601043107104083,0,Home,0,25,26,3574,162,80389,21653,2702.1666666666665,0.7009769972931995,7,58736,0.239889,0.23774065200984631,934.4020471072354,0.502338387876606,0,49.0
2024-03-02,37,142593,486,Employed,Associate,12,40694,48,Single,1,Mortgage,440,0.470194394393074,4,2,0.30040554804990277,0,Other,0,32,24,3012,646,25874,13659,11882.75,0.8290612593905435,4,12215,0.29269399999999995,0.24115566601568422,1329.3003460372934,0.1488965387673134,1,42.400000000000006
2024-03-03,26,23454,475,Employed,High School,4,20622,84,Single,4,Rent,528,0.5545830853310819,4,0,0.2986715456175573,0,Home,0,18,27,1304,643,72864,12145,1954.5,0.6203875263525703,2,60719,0.308122,0.308313816204126,601.2173858559959,0.5777525637533875,0,53.0
2024-03-04,25,129198,591,Employed,Associate,5,21669,48,Single,1,Own,522,0.2778243099290118,4,0,0.3227618475309923,0,Home,0,21,4,3453,2789,11604,122406,10766.5,0.8650697550067239,6,13103,0.221169,0.22203501298364064,685.1014351412737,0.11211641992674255,1,44.0
2024-03-05,49,24968,609,Employed,Bachelor,25,23564,60,Single,3,Mortgage,438,0.5367749251144459,5,2,0.33545318721590545,0,Home,1,23,2,2670,2020,34360,188655,2080.6666666666665,0.9194859782400121,5,12567,0.22406399999999999,0.21283180670985555,641.2447648466082,0.5187014249503084,0,64.0
2024-03-06,56,22932,534,Employed,High School,34,24359,48,Single,0,Mortgage,556,0.4650870459169741,5,0,0.3895084594675227,0,Education,0,24,5,9348,3292,130809,164789,1911.0,0.8748144867458435,7,14017,0.252359,0.23559110995996,788.2225563985967,0.7034131639971725,0,59.0
2024-03-07,39,29225,595,Employed,High School,16,12780,72,Single,4,Rent,369,0.17637256742610985,1,1,0.31112488103502917,1,Home,1,24,16,1319,894,37607,17173,2435.4166666666665,0.976805332341086,4,20434,0.23027999999999998,0.2522289954806933,346.0071812142741,0.29358720871073707,0,73.0
2024-03-08,52,50831,627,Self-Employed,Associate,26,23883,36,Married,1,Rent,806,0.2698558901790513,1,0,0.40132285463060174,0,Auto,0,29,18,5874,1144,57850,15219,4235.916666666667,0.7741023043219408,3,42631,0.195383,0.1765041049499898,859.2450475650804,0.3931250727072252,0,56.0
2024-03-09,44,79589,583,Employed,High School,22,27365,60,Married,4,Mortgage,1015,0.16917319301668596,1,0,0.02186567071195027,0,Education,0,22,19,1236,972,188608,9269,6632.416666666667,0.8782223908072929,8,179339,0.240865,0.23343317380480483,776.8395249192376,0.27016389575231314,0,45.0
2024-03-10,32,54985,522,Employed,Bachelor,9,9830,60,Married,3,Mortgage,760,0.4984021651110902,1,1,0.3865657427084884,0,Education,0,24,10,2658,1884,81451,30851,4582.083333333333,0.649670424689239,2,50600,0.25383,0.262163978689124,295.5754549880603,0.2303702002338224,0,53.0
2024-03-11,44,42199,600,Employed,Master,24,33934,48,Single,2,Mortgage,580,0.4451789219677825,2,3,0.27974173168209965,0,Education,0,15,21,3848,1066,113524,15369,3516.5833333333335,0.8669450860731844,5,98155,0.228934,0.21509785074929366,1060.1166709840463,0.4663949394963993,0,49.0
2024-03-12,58,61063,644,Self-Employed,Bachelor,36,34807,60,Married,2,Rent,483,0.2571926019225266,1,0,0.4003010688197563,0,Other,0,18,1,2812,3933,17936,54838,5088.583333333333,0.8326585284431371,6,16650,0.21780700000000003,0.2097832633056303,941.2219777391318,0.2798857529579219,0,60.0
2024-03-13,39,37751,585,Employed,Bachelor,15,24996,12,Single,0,Own,395,0.23715843015741223,4,1,0.14358340936738032,0,Debt Consolidation,0,19,4,7317,3816,48060,11041,3145.9166666666665,0.9175259904502086,4,37019,0.197496,0.20410590705220483,2320.406845094638,0.8631528208825106,0,54.0
2024-03-14,58,35588,604,Employed,Bachelor,39,11245,72,Widowed,2,Own,564,0.13416997009692352,5,0,0.4849699333651019,0,Home,0,23,16,2419,406,41405,20102,2965.6666666666665,0.8613218806454122,6,21303,0.224245,0.20330592947802822,271.5087399221456,0.28172712372332664,0,53.0
2024-03-15,18,23002,521,Employed,Associate,0,15924,36,Single,1,Rent,459,0.07030378785566258,4,1,0.17438289406358248,0,Home,0,26,21,5476,1842,75785,77481,1916.8333333333333,0.754261201940354,4,10976,0.240424,0.25500164081432336,637.3554562535965,0.5719618065839126,0,51.0
2024-03-16,49,89075,562,Employed,High School,26,6885,72,Divorced,1,Rent,695,0.15138616263515328,1,1,0.2543040724345759,0,Home,1,26,28,2736,1008,64290,9359,7422.916666666667,0.8666773798945752,3,54931,0.240885,0.2542785274755116,187.27413829970493,0.11885814942011179,1,43.2
2024-03-17,41,17008,632,Employed,Master,18,18419,36,Single,1,Other,324,0.3256253478793322,0,1,0.33608163889017995,0,Home,0,18,12,1530,486,54779,12526,1417.3333333333333,0.6033063320512047,5,42253,0.187419,0.20169261083731144,686.1055867851051,0.7126803293403846,0,53.0
2024-03-18,36,107338,482,Employed,High School,11,13950,36,Widowed,4,Mortgage,707,0.46234464250296103,3,1,0.10993051231017337,0,Home,0,35,29,10449,469,85073,6112,8944.833333333334,0.9172195302284358,6,78961,0.25795,0.2518691351715914,556.0295465249989,0.1412021330591215,1,38.400000000000006
2024-03-19,41,35470,594,Unemployed,High School,18,21290,48,Divorced,0,Mortgage,491,0.4499873355999321,3,3,0.0719613388943556,0,Home,0,29,18,12198,738,255845,9676,2955.8333333333335,0.7586351350825471,3,246169,0.21929,0.23675018946148116,690.273641968632,0.3996414915033432,0,51.0
2024-03-20,18,28045,510,Employed,Bachelor,0,36342,72,Married,1,Rent,539,0.29423575056735585,2,0,0.05239148290721246,0,Education,0,29,10,3623,4016,23776,48210,2337.0833333333335,0.5361085843638912,4,16868,0.296342,0.29835103459900436,1089.4583483621432,0.696790878243741,0,52.0
2024-03-21,37,66181,609,Employed,High School,16,17134,60,Married,1,Rent,357,0.3027893723473689,1,0,0.1669162265980343,0,Home,1,27,14,1246,869,58749,15236,5515.083333333333,0.6064813845296552,6,43513,0.217634,0.2041446465797365,457.9065804994907,0.14775961327259923,0,53.0
2024-03-22,44,121898,517,Employed,Associate,21,27053,48,Single,4,Own,393,0.08915494101748757,3,1,0.15376144780939718,0,Auto,0,30,7,2495,7577,29049,53851,10158.166666666666,0.6876988546137397,5,14839,0.263553,0.2686107340205518,925.3084603714924,0.12977818770166788,1,38.400000000000006
2024-03-23,57,116009,656,Employed,High School,34,21082,96,Single,5,Own,603,0.4107017860870551,3,0,0.1459022203916767,0,Debt Consolidation,0,21,13,2706,2644,716629,12974,9667.416666666666,0.9341925754728054,3,703655,0.228082,0.20794662176063963,452.23874914331105,0.10915416036445218,1,28.8
2024-03-24,33,69658,517,Employed,High School,13,14017,48,Single,2,Mortgage,820,0.5082798484821918,3,0,0.4435543239079623,0,Debt Consolidation,0,18,24,5637,1521,7158,79558,5804.833333333333,0.8894029253843141,1,19305,0.250517,0.2632731250484151,475.2003304371133,0.22312446474554767,0,57.0
2024-03-25,30,69170,491,Employed,High School,6,44559,48,Married,2,Mortgage,157,0.508610503618263,4,0,0.3653254574803429,0,Home,0,17,7,14304,762,19032,4260,5764.166666666667,0.8821349734883258,2,14772,0.29405899999999996,0.3044479735689901,1615.9390032477993,0.3075794136037818,0,56.0
2024-03-26,33,15000,543,Employed,High School,6,33313,24,Single,4,Mortgage,399,0.3122117301064819,4,1,0.33281609191541783,0,Debt Consolidation,0,14,27,17521,393,19606,40289,1250.0,0.7068954428554295,1,11667,0.236813,0.22568732512513887,1737.5873957162937,1.7092699165730352,0,56.0
2024-03-27,50,43214,523,Employed,Bachelor,28,12654,24,Married,0,Mortgage,197,0.3302063130009654,1,1,0.1740693658346961,0,Auto,0,28,18,2014,3796,163570,26663,3601.1666666666665,0.9108645220661393,7,136907,0.226154,0.22856017017814761,661.8276072190066,0.23848593711825056,1,37.6
2024-03-28,43,33125,514,Employed,Master,19,27563,36,Married,2,Mortgage,352,0.20154182700671364,4,1,0.7145822345909657,0,Education,0,29,27,5426,830,313383,16445,2760.4166666666665,0.5273531011144168,5,296938,0.255563,0.250384775889318,1096.4610750402476,0.5247255215240142,0,53.0
2024-03-29,33,101341,604,Employed,Associate,10,19855,24,Married,0,Other,600,0.42245223919851643,1,1,0.6776494148459072,0,Home,0,24,4,7873,441,85750,4318,8445.083333333334,0.9013630293879109,5,81432,0.192855,0.2088171153279567,1019.1088811519628,0.19172207274275518,1,44.800000000000004
2024-03-30,46,48219,615,Employed,Master,25,28460,48,Single,4,Other,582,0.2239547677633814,2,0,0.45509884435793435,0,Education,0,22,21,3623,463,72465,13375,4018.25,0.9094139155047051,6,59090,0.21596,0.22031156123731563,897.1444311630092,0.36810662133093,0,52.0
